#x [m],y [m],z [m],x [V/m],y [V/m],z [V/m]
Sample 1 time=5
0,-0.0935,-0.1275,0.895478,-91.7341,44.7349
0,-0.0925,-0.1275,1.10094,-202.813,54.0363
0,-0.0915,-0.1275,1.30435,-314.887,62.6202
0,-0.0905,-0.1275,1.50574,-427.955,70.4882
0,-0.0895,-0.1275,1.70505,-542.017,77.6397
0,-0.0885,-0.1275,1.90238,-657.073,84.0744
0,-0.0875,-0.1275,2.09762,-773.123,89.793
0,-0.0865,-0.1275,2.29086,-890.168,94.7946
0,-0.0855,-0.1275,2.48205,-1008.21,99.0798
0,-0.0845,-0.1275,2.67121,-1127.24,102.649
0,-0.0835,-0.1275,2.85831,-1247.27,105.5
0,-0.0825,-0.1275,3.04337,-1368.29,107.636
0,-0.0815,-0.1275,3.22641,-1490.31,109.055
0,-0.0805,-0.1275,3.40742,-1613.32,109.757
0,-0.0795,-0.1275,3.58639,-1737.32,109.743
0,-0.0785,-0.1275,3.76331,-1862.32,109.013
0,-0.0775,-0.1275,3.9382,-1988.31,107.565
0,-0.0765,-0.1275,4.11102,-2115.3,105.402
0,-0.0755,-0.1275,4.28187,-2243.28,102.521
0,-0.0745,-0.1275,4.45066,-2372.26,98.9243
0,-0.0735,-0.1275,4.27664,-2506.69,98.417
0,-0.0725,-0.1275,4.98077,-2648.92,102.283
0,-0.0715,-0.1275,6.05342,-2787.96,101.406
0,-0.0705,-0.1275,6.81188,-2929.09,100.768
0,-0.0695,-0.1275,7.25616,-3072.28,100.369
0,-0.0685,-0.1275,7.38632,-3217.56,100.211
0,-0.0675,-0.1275,7.20232,-3364.91,100.291
0,-0.0665,-0.1275,6.70416,-3514.35,100.612
0,-0.0655,-0.1275,5.89184,-3665.85,101.172
0,-0.0645,-0.1275,4.76532,-3819.44,101.971
0,-0.0635,-0.1275,3.32473,-3975.1,103.009
0,-0.0625,-0.1275,1.56994,-4132.84,104.288
0,-0.0615,-0.1275,-0.499002,-4292.66,105.805
0,-0.0605,-0.1275,-2.88209,-4454.56,107.562
0,-0.0595,-0.1275,-5.57934,-4618.53,109.559
0,-0.0585,-0.1275,-8.59078,-4784.58,111.795
0,-0.0575,-0.1275,-11.9163,-4952.71,114.27
0,-0.0565,-0.1275,-15.556,-5122.91,116.985
0,-0.0555,-0.1275,-19.5099,-5295.19,119.94
0,-0.0545,-0.1275,-23.778,-5469.55,123.134
0,-0.0535,-0.1275,-29.8365,-5647.19,128.446
0,-0.0525,-0.1275,-40.2505,-5844.59,135.485
0,-0.0515,-0.1275,-39.8223,-6047.63,120.978
0,-0.0505,-0.1275,-39.2037,-6251.46,108.361
0,-0.0495,-0.1275,-38.3944,-6456.09,97.6334
0,-0.0485,-0.1275,-37.3946,-6661.53,88.7959
0,-0.0475,-0.1275,-36.2042,-6867.76,81.8474
0,-0.0465,-0.1275,-34.8233,-7074.8,76.7893
0,-0.0455,-0.1275,-33.2519,-7282.64,73.6208
